inn,year,net_profit,interest,tax,ebitda
5038038838,2023,-20913.0,3334.0,-248.0,-17827.0
5038038838,2021,3080.0,5601.0,-320.0,8361.0
5038038838,2024,-20129.0,1521.0,-191.0,-18799.0
5038038838,2022,19518.0,141.0,-336.0,19323.0
5038038838,2025,-520.0,11869.0,-63.0,11286.0
5027006369,2022,31442.0,2791.0,-8568.0,25665.0
5027006369,2025,704973.0,324.0,-48275.0,657022.0
5027006369,2024,28998.0,705.0,-8184.0,21519.0
5027006369,2021,20376.0,,-5463.0,
5027006369,2023,582441.0,1946.0,-145629.0,438758.0
1414006922,2021,2092.0,0.0,-5820.0,-3728.0
1414006922,2025,60542.0,,-22828.0,
1414006922,2024,54850.0,,-16937.0,
1414006922,2023,19889.0,,-8624.0,
1414006922,2022,3375.0,,-3933.0,
3327332190,2024,47723.0,,-13461.0,
3327332190,2023,40101.0,,-10025.0,
3327332190,2022,30374.0,,-7693.0,
3327332190,2021,20565.0,,-5560.0,
3327332190,2025,65830.0,,-22541.0,
7816061297,2023,565.0,0.0,141.0,706.0
7816061297,2022,444.0,9.0,-121.0,332.0
7816061297,2021,1077.0,0.0,-308.0,769.0
7816061297,2025,2542.0,,-1104.0,
7816061297,2024,11674.0,,2975.0,
3525048992,2021,9611.0,1680.0,-5381.0,5910.0
3525048992,2023,183854.0,1060.0,-58616.0,126298.0
3525048992,2025,99325.0,45681.0,-50974.0,94032.0
3525048992,2024,29550.0,27152.0,-47407.0,9295.0
3525048992,2022,10568.0,2522.0,-1665.0,11425.0
3101000612,2021,-3050.0,,-14.0,
3101000612,2024,-21506.0,,-687.0,
3101000612,2025,-19230.0,0.0,-4.0,-19234.0
3101000612,2023,-15367.0,,,
3101000612,2022,-13022.0,,0.0,
5902126804,2021,10564.0,5.0,-485.0,10084.0
5902126804,2024,21635.0,3017.0,591.0,25243.0
5902126804,2023,346.0,1087.0,-694.0,739.0
5902126804,2022,4885.0,14.0,-386.0,4513.0
5902126804,2025,1662.0,1097.0,-341.0,2418.0
523005733,2025,7275.0,0.0,-137.0,7138.0
523005733,2023,1102.0,,184.0,
523005733,2022,1539.0,,-385.0,
523005733,2024,2028.0,,-290.0,
523005733,2021,422.0,,-105.0,
7724745755,2024,89807.0,30226.0,-22688.0,97345.0
7724745755,2023,28092.0,7445.0,-9942.0,25595.0
7724745755,2025,79896.0,4386.0,-30264.0,54018.0
7724745755,2021,342.0,,-3577.0,
7724745755,2022,23975.0,220.0,-7171.0,17024.0
504007693,2023,228.0,,53.0,
504007693,2025,-243.0,0.0,-100.0,-343.0
504007693,2024,190.0,,-220.0,
504007693,2021,240.0,,-565.0,
504007693,2022,833.0,,-208.0,
2901030646,2023,-46946.0,8858.0,-52.0,-38140.0
