name,subject_type,category,ogrn,inn,activity,region,district,city,settlement,new_subject,date_inclusion,date_exclusion,phone,email,www,has_license,has_contracts,innovative_production,partnership_program,social_enterprise,employees
"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Малое предприятие,1025004907080,5038038838,41.20 Строительство жилых и нежилых зданий,50 - Московская область,Пушкино г,,,False,2016-08-01,,,,,False,False,False,False,False,36
"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Среднее предприятие,1025007270551,5027006369,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Дзержинский,,False,2016-08-01,,,,,True,False,False,False,False,201
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Юридическое лицо,Малое предприятие,1021400692048,1414006922,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2017-08-10,,,,,True,False,False,False,False,35
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Юридическое лицо,Малое предприятие,1043301806415,3327332190,41.20 Строительство жилых и нежилых зданий,33 - Владимирская область,,г Владимир,,False,2022-08-10,,,,,True,False,False,False,False,52
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Юридическое лицо,Малое предприятие,1027807999988,7816061297,41.20 Строительство жилых и нежилых зданий,78 - г.Санкт-Петербург,,,,False,2022-06-10,,,,,True,False,False,False,False,21
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Юридическое лицо,Малое предприятие,1023500875870,3525048992,41.20 Строительство жилых и нежилых зданий,35 - Вологодская область,,г Вологда,,False,2017-08-10,,,,,False,False,False,False,False,14
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Юридическое лицо,Малое предприятие,1023101533883,3101000612,41.20 Строительство жилых и нежилых зданий,31 - Белгородская область,Алексеевский р-н,г Алексеевка,,False,2017-08-10,,,,,True,False,False,False,False,20
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,1025900534406,5902126804,41.20 Строительство жилых и нежилых зданий,59 - Пермский край,,г Пермь,,False,2017-08-10,,,,,True,False,False,False,False,30
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Юридическое лицо,Малое предприятие,1020501386443,523005733,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Магарамкентский р-н,,с Магарамкент,False,2021-10-10,,,,,False,False,False,False,False,34
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",Юридическое лицо,Малое предприятие,1165009053802,5009106346,41.20 Строительство жилых и нежилых зданий,50 - Московская область,,г Домодедово,,False,2023-07-10,,,,,False,False,False,False,False,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Юридическое лицо,Среднее предприятие,1107746340745,7724745755,41.20 Строительство жилых и нежилых зданий,77 - г.Москва,,,,False,2021-07-10,,,,,True,False,False,False,False,67
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Юридическое лицо,Малое предприятие,1030500602813,504007693,41.20 Строительство жилых и нежилых зданий,05 - Республика Дагестан,Ахтынский р-н,,с Ахты,False,2022-11-10,,,,,False,False,False,False,False,29
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,1022900534700,2901030646,41.20 Строительство жилых и нежилых зданий,29 - Архангельская область,,г Архангельск,,False,2017-08-10,,,,,True,False,False,False,False,136
